"id","toa","threshold","infectiousness","susceptibility","school","cohort","sch_type"
"102.102_102041",NA,NA,NA,NA,NA,NA,NA
"102.102_102043",1,0,0,0,NA,NA,NA
"102.102_102044",NA,NA,NA,NA,NA,NA,NA
"102.102_102047",NA,NA,NA,NA,NA,NA,NA
"102.102_102049",NA,NA,NA,NA,NA,NA,NA
"102.102_102050",NA,NA,NA,NA,NA,NA,NA
"102.102_102051",NA,NA,NA,NA,NA,NA,NA
"102.102_102052",NA,NA,NA,NA,NA,NA,NA
"102.102_102053",NA,NA,NA,NA,NA,NA,NA
"102.102_102054",7,0,0,0,NA,NA,NA
"102.102_102055",NA,NA,NA,NA,NA,NA,NA
"102.102_102059",NA,NA,NA,NA,NA,NA,NA
"102.102_102065",NA,NA,NA,NA,NA,NA,NA
"102.102_102068",NA,NA,NA,NA,NA,NA,NA
"102.102_102072",NA,NA,NA,NA,NA,NA,NA
"102.102_102074",5,0,0,0,NA,NA,NA
"102.102_102078",NA,NA,NA,NA,NA,NA,NA
"102.102_102081",NA,NA,NA,NA,NA,NA,NA
"102.102_102084",NA,NA,NA,NA,NA,NA,NA
"102.102_102087",NA,NA,NA,NA,NA,NA,NA
"102.102_102089",NA,NA,NA,NA,NA,NA,NA
"102.102_102091",NA,NA,NA,NA,NA,NA,NA
"102.102_102092",NA,NA,NA,NA,NA,NA,NA
"102.102_102094",NA,NA,NA,NA,NA,NA,NA
"102.102_102100",NA,NA,NA,NA,NA,NA,NA
"102.102_102101",NA,NA,NA,NA,NA,NA,NA
"102.102_102102",4,0,0,0,NA,NA,NA
"102.102_102104",NA,NA,NA,NA,NA,NA,NA
"102.102_102108",NA,NA,NA,NA,NA,NA,NA
"102.102_102109",NA,NA,NA,NA,NA,NA,NA
"102.102_102110",NA,NA,NA,NA,NA,NA,NA
"102.102_102111",NA,NA,NA,NA,NA,NA,NA
"102.102_102114",NA,NA,NA,NA,NA,NA,NA
"102.102_102117",1,0,0,0,NA,NA,NA
"102.102_102118",NA,NA,NA,NA,NA,NA,NA
"102.102_102121",NA,NA,NA,NA,NA,NA,NA
"102.102_102122",NA,NA,NA,NA,NA,NA,NA
"102.102_102123",NA,NA,NA,NA,NA,NA,NA
"102.102_102127",NA,NA,NA,NA,NA,NA,NA
"102.102_102130",NA,NA,NA,NA,NA,NA,NA
"102.102_102133",NA,NA,NA,NA,NA,NA,NA
"102.102_102134",NA,NA,NA,NA,NA,NA,NA
"102.102_102135",NA,NA,NA,NA,NA,NA,NA
"102.102_102136",NA,NA,NA,NA,NA,NA,NA
"102.102_102137",NA,NA,NA,NA,NA,NA,NA
"102.102_102139",5,0.333333333333333,0,0,NA,NA,NA
"102.102_102142",6,0,0,0,NA,NA,NA
"102.102_102146",NA,NA,NA,NA,NA,NA,NA
"102.102_102147",NA,NA,NA,NA,NA,NA,NA
"102.102_102154",NA,NA,NA,NA,NA,NA,NA
"102.102_102155",NA,NA,NA,NA,NA,NA,NA
"102.102_102157",NA,NA,NA,NA,NA,NA,NA
"102.102_102158",NA,NA,NA,NA,NA,NA,NA
"102.102_102160",NA,NA,NA,NA,NA,NA,NA
"102.102_102164",5,0.333333333333333,0,0,NA,NA,NA
"102.102_102165",NA,NA,NA,NA,NA,NA,NA
"102.102_102166",NA,NA,NA,NA,NA,NA,NA
"102.102_102170",NA,NA,NA,NA,NA,NA,NA
"102.102_102171",NA,NA,NA,NA,NA,NA,NA
"102.102_102172",NA,NA,NA,NA,NA,NA,NA
"102.102_102173",NA,NA,NA,NA,NA,NA,NA
"102.102_102175",4,0,0,0,NA,NA,NA
"102.102_102176",NA,NA,NA,NA,NA,NA,NA
"102.102_102177",NA,NA,NA,NA,NA,NA,NA
"102.102_102182",NA,NA,NA,NA,NA,NA,NA
"102.102_102183",NA,NA,NA,NA,NA,NA,NA
"102.102_102185",NA,NA,NA,NA,NA,NA,NA
"102.102_102186",NA,NA,NA,NA,NA,NA,NA
"102.102_102195",NA,NA,NA,NA,NA,NA,NA
"102.102_102201",NA,NA,NA,NA,NA,NA,NA
"102.102_102202",NA,NA,NA,NA,NA,NA,NA
"102.102_102209",NA,NA,NA,NA,NA,NA,NA
"102.102_102211",NA,NA,NA,NA,NA,NA,NA
"102.102_102213",NA,NA,NA,NA,NA,NA,NA
"102.102_102216",NA,NA,NA,NA,NA,NA,NA
"102.102_102217",NA,NA,NA,NA,NA,NA,NA
"102.102_102220",NA,NA,NA,NA,NA,NA,NA
"102.102_102222",NA,NA,NA,NA,NA,NA,NA
"102.102_102226",6,0,0,0,NA,NA,NA
"102.102_102227",NA,NA,NA,NA,NA,NA,NA
"102.102_102228",NA,NA,NA,NA,NA,NA,NA
"102.102_102230",NA,NA,NA,NA,NA,NA,NA
"102.102_102235",2,0,0,0,NA,NA,NA
"102.102_102237",NA,NA,NA,NA,NA,NA,NA
"102.102_102238",NA,NA,NA,NA,NA,NA,NA
"102.102_102243",NA,NA,NA,NA,NA,NA,NA
"102.102_102245",6,0,0,0,NA,NA,NA
"102.102_102246",NA,NA,NA,NA,NA,NA,NA
"102.102_102250",NA,NA,NA,NA,NA,NA,NA
"102.102_102254",NA,NA,NA,NA,NA,NA,NA
"102.102_102257",NA,NA,NA,NA,NA,NA,NA
"102.102_102259",NA,NA,NA,NA,NA,NA,NA
"102.102_102265",NA,NA,NA,NA,NA,NA,NA
"102.102_102268",NA,NA,NA,NA,NA,NA,NA
"102.102_102269",NA,NA,NA,NA,NA,NA,NA
"102.102_102270",NA,NA,NA,NA,NA,NA,NA
"102.102_102271",7,0,0,0,NA,NA,NA
"102.102_102272",NA,NA,NA,NA,NA,NA,NA
"102.102_102273",NA,NA,NA,NA,NA,NA,NA
"102.102_102279",NA,NA,NA,NA,NA,NA,NA
"102.102_102281",1,0,0,0,NA,NA,NA
"102.102_102284",NA,NA,NA,NA,NA,NA,NA
"102.102_102285",NA,NA,NA,NA,NA,NA,NA
"102.102_102287",5,0.5,0,0,NA,NA,NA
"102.102_102290",1,0,0,0,NA,NA,NA
"102.102_102293",8,0,0,0,NA,NA,NA
"102.102_102294",NA,NA,NA,NA,NA,NA,NA
"102.102_102296",NA,NA,NA,NA,NA,NA,NA
"102.102_102300",NA,NA,NA,NA,NA,NA,NA
"102.102_102304",1,0,0,0,NA,NA,NA
"102.102_102305",NA,NA,NA,NA,NA,NA,NA
"102.102_102308",NA,NA,NA,NA,NA,NA,NA
"102.102_102309",NA,NA,NA,NA,NA,NA,NA
"102.102_102311",NA,NA,NA,NA,NA,NA,NA
"102.102_102312",NA,NA,NA,NA,NA,NA,NA
